Monthly_Avg_AQI,Days_Severe_AQI,timestamp,data_source
182.62,0,2025-11-29 00:42:54,Open-Meteo
182.62,0,2025-11-29 00:47:15,Open-Meteo
212.63,0,2025-11-29 00:49:45,Open-Meteo (Converted to CPCB)
212.63,4,2025-11-29 00:58:55,Open-Meteo (Converted to CPCB)
212.63,4,2025-11-29 02:29:37,Open-Meteo (Converted to CPCB)
212.63,4,2025-11-29 02:58:02,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 07:49:39,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 07:49:55,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 07:50:11,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 07:50:27,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 07:57:03,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 08:41:49,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 08:57:09,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:06:15,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:25:20,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:29:21,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:34:30,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:38:58,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:40:12,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:41:20,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:44:21,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:49:27,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 09:50:41,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 10:04:40,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 10:47:03,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 10:55:37,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 11:07:38,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 11:21:45,Open-Meteo (Converted to CPCB)
211.85,4,2025-11-29 11:33:45,Open-Meteo (Converted to CPCB)
