Month,Monthly_Avg_AQI,Monthly_Max_AQI,Days_Severe_AQI
2017-01-01,304.53225806451616,384.0,19
2017-02-01,259.7142857142857,336.0,5
2017-03-01,188.79032258064515,290.0,0
2017-04-01,211.1,351.0,3
2017-05-01,236.5483870967742,365.0,4
2017-06-01,152.83333333333334,237.0,0
2017-07-01,85.41574702886247,148.0,0
2017-08-01,94.05498533724341,141.0,0
2017-09-01,135.8,215.0,0
2017-10-01,276.7258064516129,396.0,11
2017-11-01,368.3666666666667,491.0,27
2017-12-01,319.0967741935484,446.0,19
2018-01-01,328.83870967741933,418.0,20
2018-02-01,262.7857142857143,341.0,7
2018-03-01,214.0,297.0,0
2018-04-01,223.33333333333334,356.0,4
2018-05-01,218.41935483870967,304.0,2
2018-06-01,203.06666666666666,447.0,4
2018-07-01,104.0,182.0,0
2018-08-01,111.38709677419355,241.0,0
2018-09-01,111.63333333333334,219.0,0
2018-10-01,268.93548387096774,401.0,10
2018-11-01,335.03333333333336,426.0,22
2018-12-01,360.51612903225805,450.0,26
2019-01-01,327.7096774193548,444.0,20
2019-02-01,242.39285714285714,382.0,8
2019-03-01,184.16129032258064,266.0,0
2019-04-01,210.73333333333332,302.0,1
2019-05-01,220.61290322580646,357.0,4
2019-06-01,190.06666666666666,307.0,1
2019-07-01,134.0,317.0,1
2019-08-01,86.19354838709677,147.0,0
2019-09-01,98.06666666666666,173.0,0
2019-10-01,233.83870967741936,419.0,7
2019-11-01,312.23333333333335,494.0,18
2019-12-01,337.2903225806452,446.0,21
